标签项	详细选项
风格偏好	a. 舒适休闲  b. 精致女人味  c. 设计感小众  d. 文艺复古      e. 通勤优雅  f. 高街潮流  g. 甜美少女  h. 甜酷风
体重	a. 偏胖 b. 微胖 c. 中等 d. 偏瘦
体型特征	a. O型（腰腹丰满）  b. A型（臀腿丰满）  c. X型（匀称沙漏）      d. Y型（肩宽）  e. H型（直筒）
身高	a.155及以下  b. 160   c. 165   d. 170  e. 170以上
身材关注点	a. 显瘦  b. 显高  c. 遮腰腹  d. 遮臀腿  e. 修饰肩颈  f. 修饰腿型  g. 舒适度优先
穿搭禁忌	a.紧身  b. 露胳膊  c. 露腰  d.露腿  e.高领
消费决策特征	a. 爽快型（看中即买）  b. 折扣敏感型（等活动）  c. 顾问依赖型（需推荐）      d. 谨慎比较型（多次考量）
偏爱材质	a. 真丝/醋酸  b. 棉麻  c. 羊毛羊绒  d. 牛仔  e. 针织  f. 功能性面料
试穿尺码	a.上装XS  b.上装S  c.上装M  d.上装L  e.上装XL  f.下装XS  g.下装S  h.下装M i.下装L  j.下装XL
穿搭场景	a. 日常居家  b. 约会社交  c. 通勤职场  d. 商务正式      e. 旅行度假  f. 运动户外  g. 宴会/婚礼
职业属性	a. 企业高管  b. 专业人士（律师/医生等）  c. 体制内职员（公务员/教师等） d.全职太太  e. 私营老板  f. 时尚/创意从业者  g. 学生
消费实力	a. 没实力（≤1k/单） b. 一般（1k-3k/单） c. 有实力（3k-8k/单） d.很有实力（≥8k/单）
核心需求	a. 显年轻  b. 显贵气  c. 提升气场  d. 减龄学院感  e. 日常百搭
